customerid,gender,seniorcitizen,partner,dependents,age,tenure,busines_loan,multiplebusinessloans,creditline,online_banking,mortgage,stocks,forex,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn_within_a_month,satisfactory_onboarding_form,preds
1644,Male,0,Yes,No,45,37,Yes,No,A,No,Yes,No,Yes,A,Yes,Electronic check,90.35,3419.3,No,3,True
1645,Female,0,No,No,23,34,Yes,Yes,A,Yes,No,Yes,Yes,A,Yes,Mailed check,109.8,3587.25,Yes,1,True
1646,Female,1,No,No,61,42,Yes,Yes,A,No,No,Yes,No,A,Yes,Electronic check,84.65,3541.35,Yes,4,True
1647,Female,0,Yes,Yes,58,59,Yes,Yes,B,Yes,Yes,No,No,B,No,Mailed check,65.5,3801.3,No,1,False
1648,Male,0,Yes,Yes,49,11,Yes,No,A,No,No,Yes,No,A,Yes,Bank transfer (automatic),79.5,868.5,Yes,5,True
1649,Male,1,Yes,Yes,80,60,Yes,Yes,A,Yes,No,No,No,A,Yes,Electronic check,80.95,4859.1,No,4,False
1650,Female,0,No,No,40,27,Yes,No,B,No,Yes,No,No,A,Yes,Mailed check,56.15,1439.35,No,1,False
1651,Female,0,No,No,47,1,Yes,Yes,A,No,No,No,Yes,A,No,Mailed check,85.8,85.8,Yes,4,True
1652,Male,1,No,No,76,1,Yes,No,A,No,No,Yes,No,A,Yes,Electronic check,79.1,79.1,Yes,3,True
1653,Male,0,Yes,No,34,17,No,,B,Yes,No,No,No,A,No,Mailed check,34.4,592.75,No,4,False
1654,Male,0,Yes,No,32,58,Yes,No,No,,No,No online banking,No online banking,C,No,Mailed check,20.75,1185.95,No,1,False
1655,Male,0,Yes,Yes,58,1,Yes,No,No,,No,No online banking,No online banking,B,No,Mailed check,18.8,18.8,No,4,False
1656,Female,0,Yes,Yes,24,3,Yes,No,B,No,No,No,No,A,No,Mailed check,44.3,134.5,Yes,5,True
1657,Female,0,No,No,34,53,Yes,Yes,A,Yes,No,No,No,A,No,Electronic check,90.8,4921.2,No,2,False
1658,Male,0,No,No,33,35,Yes,Yes,No,,No,No online banking,No online banking,A,Yes,Electronic check,25.6,901.25,No,1,False
1659,Male,0,Yes,Yes,44,50,Yes,Yes,A,Yes,No,Yes,Yes,A,No,Credit card (automatic),105.95,5341.8,Yes,3,False
1660,Male,0,Yes,Yes,23,68,Yes,Yes,B,No,Yes,No,Yes,C,No,Credit card (automatic),70.8,4859.95,No,5,False
1661,Male,0,Yes,No,20,47,Yes,Yes,No,,No,No online banking,No online banking,A,No,Electronic check,25.4,1139.2,No,1,False
1662,Female,1,Yes,No,78,65,Yes,Yes,A,No,No,Yes,Yes,A,Yes,Bank transfer (automatic),108.8,7082.45,No,1,False
1663,Male,0,No,No,19,5,Yes,No,A,No,No,No,No,A,Yes,Electronic check,69.75,324.6,Yes,4,True
1664,Male,0,Yes,No,51,51,Yes,Yes,A,No,No,Yes,Yes,A,Yes,Electronic check,94.65,4812.75,Yes,2,True
1665,Female,0,No,No,35,46,Yes,Yes,A,No,No,Yes,Yes,A,No,Bank transfer (automatic),96.05,4399.5,Yes,1,True
1666,Female,0,No,No,50,9,Yes,Yes,A,No,No,No,No,A,Yes,Electronic check,76.85,663.55,No,3,True
1667,Female,0,No,No,41,8,Yes,No,No,,No,No online banking,No online banking,C,No,Mailed check,20.25,174.65,No,3,False
1668,Male,0,No,No,42,14,Yes,Yes,No,,No,No online banking,No online banking,B,Yes,Credit card (automatic),24.8,321.7,No,1,False
1669,Female,0,No,No,53,45,Yes,Yes,A,Yes,Yes,Yes,Yes,A,Yes,Electronic check,115.65,5125.5,No,1,True
1670,Female,0,No,No,26,8,Yes,Yes,A,No,No,No,No,A,Yes,Credit card (automatic),74.6,548.9,No,4,True
1671,Male,1,No,Yes,93,1,Yes,No,B,No,No,No,No,A,Yes,Mailed check,50.15,50.15,Yes,2,True
1672,Male,0,Yes,Yes,33,66,Yes,No,A,Yes,No,Yes,Yes,B,Yes,Bank transfer (automatic),103.15,7031.3,No,4,False
1673,Male,0,Yes,Yes,26,72,Yes,Yes,B,Yes,Yes,No,No,C,No,Credit card (automatic),72.1,5016.65,No,4,False
1674,Female,0,Yes,No,21,41,Yes,Yes,A,Yes,Yes,Yes,Yes,A,Yes,Bank transfer (automatic),113.6,4594.95,Yes,4,True
1675,Female,0,Yes,Yes,55,23,Yes,Yes,No,,No,No online banking,No online banking,C,No,Mailed check,25.1,611.45,No,5,False
1676,Female,0,No,No,20,29,Yes,No,A,No,No,Yes,No,A,Yes,Electronic check,78.9,2384.15,Yes,2,True
1677,Female,0,No,No,43,4,Yes,Yes,A,Yes,No,No,No,A,Yes,Electronic check,80.15,319.85,No,1,True
1678,Male,0,Yes,Yes,41,6,Yes,Yes,No,,No,No online banking,No online banking,C,No,Mailed check,25.4,153.3,No,4,False
1679,Female,1,Yes,No,83,67,Yes,Yes,A,Yes,Yes,No,Yes,B,Yes,Credit card (automatic),105.4,7035.6,No,3,False
1680,Male,1,No,Yes,90,7,Yes,No,B,No,No,No,No,A,Yes,Mailed check,45.75,344.2,No,1,False
1681,Male,0,Yes,Yes,34,56,Yes,Yes,No,,No,No online banking,No online banking,B,Yes,Mailed check,24.45,1431.65,No,5,False
1682,Female,0,Yes,No,33,72,Yes,Yes,No,,No,No online banking,No online banking,C,No,Credit card (automatic),25.0,1849.2,No,4,False
1683,Male,0,Yes,No,21,72,Yes,Yes,B,Yes,No,Yes,Yes,C,Yes,Electronic check,85.25,6083.1,No,2,False
1684,Male,0,Yes,Yes,38,23,Yes,No,No,,No,No online banking,No online banking,C,No,Credit card (automatic),19.6,426.65,No,1,False
1685,Female,0,No,Yes,47,35,Yes,Yes,B,No,No,No,No,A,No,Mailed check,50.15,1655.35,No,4,False
1686,Male,1,Yes,No,74,27,Yes,No,A,No,No,No,No,A,Yes,Electronic check,70.55,1943.9,No,5,True
1687,Female,0,Yes,Yes,31,26,Yes,Yes,B,No,Yes,No,No,A,Yes,Electronic check,60.05,1616.15,Yes,1,False
1688,Male,0,Yes,Yes,35,12,Yes,Yes,No,,No,No online banking,No online banking,B,No,Mailed check,26.4,314.95,No,5,False
1689,Female,0,No,No,53,40,Yes,No,No,,No,No online banking,No online banking,C,No,Mailed check,20.15,804.85,No,4,False
1690,Male,0,Yes,Yes,31,7,No,,B,Yes,No,Yes,Yes,A,No,Mailed check,58.85,465.7,No,1,False
1691,Male,0,Yes,Yes,29,70,Yes,Yes,A,Yes,No,Yes,No,A,Yes,Credit card (automatic),97.55,6669.05,No,2,False
1692,Male,0,Yes,Yes,19,60,Yes,No,No,,No,No online banking,No online banking,C,No,Credit card (automatic),19.65,1161.75,No,5,False
1693,Male,0,Yes,Yes,33,39,No,,B,No,No,No,No,B,Yes,Credit card (automatic),25.25,947.75,No,4,False
1694,Male,0,Yes,No,18,72,Yes,Yes,A,Yes,Yes,Yes,Yes,C,No,Credit card (automatic),114.45,8375.05,No,2,False
1695,Female,0,No,No,34,1,No,,B,No,No,Yes,No,A,Yes,Electronic check,34.7,34.7,Yes,4,True
1696,Male,0,Yes,Yes,41,54,Yes,Yes,B,No,Yes,Yes,No,B,Yes,Electronic check,70.7,3770.0,No,4,False
1697,Male,0,No,No,42,3,Yes,Yes,A,No,No,No,Yes,A,Yes,Electronic check,85.3,264.8,Yes,3,True
1698,Female,0,Yes,Yes,24,63,Yes,No,B,Yes,Yes,Yes,No,C,No,Credit card (automatic),75.55,4707.85,No,5,False
1699,Male,0,Yes,Yes,26,71,Yes,Yes,A,No,Yes,No,No,C,Yes,Electronic check,84.8,6152.4,No,3,False
1700,Female,0,No,No,36,42,Yes,No,No,,No,No online banking,No online banking,B,Yes,Mailed check,20.65,958.1,No,3,False
1701,Male,0,No,No,49,47,Yes,No,No,,No,No online banking,No online banking,C,No,Bank transfer (automatic),20.45,943.0,No,4,False
1702,Female,0,Yes,Yes,54,66,Yes,Yes,A,No,No,Yes,Yes,B,Yes,Credit card (automatic),102.45,6615.15,Yes,4,False
1703,Female,0,Yes,No,20,21,Yes,Yes,A,Yes,No,Yes,Yes,A,Yes,Bank transfer (automatic),104.4,2200.25,Yes,4,True
1704,Male,0,No,No,31,11,No,,B,No,Yes,No,No,A,Yes,Electronic check,35.65,425.1,No,5,True
1705,Male,0,No,Yes,51,1,Yes,Yes,A,No,No,Yes,Yes,A,Yes,Electronic check,99.75,99.75,Yes,4,True
1706,Female,1,Yes,No,84,55,Yes,Yes,A,No,Yes,No,No,A,No,Electronic check,90.45,5044.8,No,1,False
1707,Male,0,No,No,21,69,Yes,Yes,A,No,Yes,Yes,No,C,Yes,Credit card (automatic),97.65,6743.55,No,3,False
1708,Female,1,No,No,80,3,Yes,No,A,No,No,No,No,A,No,Electronic check,73.85,196.4,No,2,True
1709,Male,0,No,No,47,4,Yes,No,B,No,Yes,Yes,Yes,A,Yes,Electronic check,74.4,299.7,Yes,2,True
1710,Male,1,No,No,66,30,Yes,Yes,B,No,Yes,Yes,No,C,Yes,Credit card (automatic),69.1,2093.9,No,5,False
1711,Female,0,No,No,46,5,Yes,Yes,A,No,Yes,No,No,A,Yes,Electronic check,82.75,417.75,No,2,True
1712,Female,0,Yes,No,25,71,Yes,Yes,No,,No,No online banking,No online banking,C,Yes,Credit card (automatic),24.4,1725.4,No,2,False
1713,Female,0,No,No,52,29,Yes,Yes,B,No,No,No,No,B,Yes,Electronic check,55.25,1620.2,No,2,False
1714,Male,0,Yes,No,31,52,Yes,Yes,B,No,Yes,No,No,A,No,Bank transfer (automatic),61.35,3169.55,No,5,False
1715,Male,0,No,No,39,68,Yes,Yes,B,Yes,No,No,Yes,B,No,Credit card (automatic),76.75,5233.25,No,1,False
1716,Female,0,Yes,Yes,44,46,Yes,No,No,,No,No online banking,No online banking,C,No,Mailed check,19.4,967.85,No,5,False
1717,Male,0,No,No,48,8,Yes,No,B,No,No,No,Yes,A,Yes,Credit card (automatic),54.75,438.05,No,1,False
1718,Male,0,Yes,No,28,72,Yes,No,No,,No,No online banking,No online banking,C,No,Credit card (automatic),19.7,1421.9,No,3,False
1719,Female,0,No,No,34,17,Yes,No,No,,No,No online banking,No online banking,B,No,Bank transfer (automatic),19.9,323.15,No,2,False
1720,Male,0,No,No,50,3,Yes,No,A,No,Yes,Yes,Yes,A,Yes,Electronic check,107.95,318.6,No,1,True
1721,Female,1,No,No,77,2,Yes,No,A,No,No,Yes,No,A,Yes,Bank transfer (automatic),83.8,163.7,No,1,True
1722,Female,0,No,No,44,9,Yes,No,A,Yes,No,No,No,A,Yes,Credit card (automatic),74.25,639.65,Yes,4,True
1723,Female,0,No,No,32,51,No,,B,No,No,Yes,Yes,B,Yes,Credit card (automatic),56.4,2928.5,No,2,False
1724,Female,0,Yes,Yes,57,6,Yes,No,No,,No,No online banking,No online banking,C,No,Mailed check,20.1,100.35,No,2,False
1725,Female,0,Yes,No,31,3,Yes,Yes,A,No,No,Yes,Yes,A,No,Electronic check,94.9,273.2,No,1,True
1726,Female,1,No,No,63,17,Yes,Yes,A,No,No,Yes,Yes,A,Yes,Electronic check,94.2,1608.15,No,5,True
1727,Male,0,Yes,No,19,30,Yes,Yes,B,No,No,No,No,A,No,Electronic check,49.9,1441.95,No,4,False
1728,Male,0,No,No,29,31,Yes,Yes,B,No,Yes,Yes,No,A,Yes,Electronic check,71.05,2168.15,No,3,False
1729,Female,0,No,No,24,45,Yes,No,B,Yes,Yes,Yes,Yes,C,No,Bank transfer (automatic),81.65,3618.7,No,3,False
1730,Male,0,Yes,No,22,64,Yes,Yes,A,Yes,No,No,No,B,No,Bank transfer (automatic),89.45,5692.65,No,3,False
1731,Male,0,No,No,27,1,Yes,Yes,B,No,No,Yes,No,A,Yes,Electronic check,59.85,59.85,Yes,1,True
1732,Female,1,No,No,79,1,Yes,No,A,No,No,No,No,A,Yes,Electronic check,69.6,69.6,Yes,4,True
1733,Male,1,Yes,Yes,78,61,Yes,Yes,A,No,No,Yes,Yes,B,No,Electronic check,99.0,5969.3,No,2,False
1734,Male,0,No,No,40,1,Yes,No,No,,No,No online banking,No online banking,A,No,Mailed check,19.05,19.05,No,3,False
1735,Male,0,No,No,38,9,No,,B,No,No,Yes,Yes,A,Yes,Electronic check,45.4,418.8,Yes,4,True
1736,Male,0,Yes,Yes,40,72,Yes,Yes,A,Yes,Yes,Yes,Yes,C,No,Bank transfer (automatic),114.45,8100.55,No,5,False
1737,Female,0,No,No,42,1,Yes,No,No,,No,No online banking,No online banking,A,No,Mailed check,19.5,19.5,Yes,2,False
1738,Female,0,Yes,No,53,7,Yes,No,B,No,No,No,No,A,Yes,Mailed check,44.25,313.45,No,2,False
1739,Female,0,Yes,No,39,66,Yes,Yes,A,No,Yes,No,No,B,Yes,Bank transfer (automatic),90.55,6130.95,No,2,False
1740,Male,0,No,No,18,1,Yes,No,A,No,No,No,No,A,Yes,Electronic check,69.9,69.9,Yes,2,True
1741,Male,0,Yes,Yes,42,40,Yes,No,No,,No,No online banking,No online banking,A,Yes,Bank transfer (automatic),20.4,745.3,No,5,False
1742,Male,0,No,No,21,16,Yes,Yes,B,No,No,No,Yes,A,Yes,Bank transfer (automatic),71.4,1212.1,No,5,False
1743,Female,0,No,No,25,2,Yes,No,A,No,No,Yes,No,A,Yes,Bank transfer (automatic),87.15,183.75,Yes,3,True
1744,Male,0,Yes,No,26,67,Yes,Yes,No,,No,No online banking,No online banking,C,No,Credit card (automatic),24.85,1583.5,No,5,False
1745,Female,0,Yes,No,34,41,Yes,No,A,Yes,No,Yes,Yes,B,Yes,Bank transfer (automatic),104.45,4162.05,No,3,False
1746,Female,0,Yes,Yes,31,56,Yes,No,No,,No,No online banking,No online banking,C,Yes,Credit card (automatic),19.8,1119.9,No,3,False
1747,Female,0,No,No,58,72,Yes,Yes,A,Yes,Yes,Yes,Yes,C,Yes,Bank transfer (automatic),116.45,8013.55,No,4,False
1748,Female,0,Yes,Yes,44,3,Yes,Yes,A,No,No,No,Yes,A,Yes,Bank transfer (automatic),84.75,264.85,Yes,5,True
1749,Female,0,Yes,No,19,54,Yes,No,No,,No,No online banking,No online banking,C,No,Credit card (automatic),20.05,1102.4,No,3,False
1750,Male,1,No,No,93,52,Yes,Yes,A,No,Yes,Yes,Yes,A,Yes,Electronic check,110.75,5832.0,No,5,True
1751,Female,0,No,No,21,50,Yes,No,A,No,Yes,No,Yes,C,Yes,Bank transfer (automatic),89.7,4304.5,No,3,False
1752,Male,0,No,No,52,14,Yes,Yes,A,No,Yes,Yes,No,A,Yes,Electronic check,89.95,1178.4,Yes,1,True
1753,Male,0,Yes,No,21,27,Yes,No,B,Yes,No,No,No,B,No,Credit card (automatic),48.7,1421.75,No,2,False
1754,Female,1,Yes,No,72,72,Yes,Yes,A,Yes,Yes,No,No,C,Yes,Bank transfer (automatic),96.6,6827.5,No,5,False
1755,Male,0,No,No,21,62,Yes,No,B,Yes,No,Yes,Yes,B,Yes,Credit card (automatic),74.3,4698.05,No,5,False
1756,Female,0,No,No,58,12,Yes,No,B,No,Yes,No,No,A,Yes,Electronic check,54.3,654.5,No,3,True
1757,Female,1,No,No,99,44,Yes,No,B,No,Yes,Yes,Yes,B,No,Bank transfer (automatic),74.85,3268.05,No,5,False
1758,Male,0,Yes,Yes,31,54,Yes,No,A,No,Yes,No,No,C,Yes,Bank transfer (automatic),79.95,4362.05,No,4,False
1759,Female,0,No,No,43,68,Yes,No,No,,No,No online banking,No online banking,C,No,Bank transfer (automatic),20.05,1386.9,No,2,False
1760,Male,0,No,No,44,20,Yes,No,No,,No,No online banking,No online banking,A,No,Mailed check,19.4,415.4,No,4,False
1761,Male,0,Yes,Yes,33,50,Yes,Yes,B,No,No,No,No,B,No,Bank transfer (automatic),54.9,2614.1,No,2,False
1762,Male,0,No,No,18,58,Yes,Yes,No,,No,No online banking,No online banking,C,Yes,Credit card (automatic),24.45,1513.6,No,3,False
1763,Male,0,Yes,Yes,20,35,Yes,Yes,A,No,No,Yes,No,A,Yes,Bank transfer (automatic),89.65,3161.6,No,5,True
1764,Female,0,No,No,52,2,Yes,No,B,No,No,No,No,A,Yes,Electronic check,45.4,80.95,No,3,True
1765,Male,0,Yes,Yes,30,63,Yes,Yes,B,Yes,Yes,No,Yes,C,No,Mailed check,75.7,4676.7,No,5,False
1766,Female,0,Yes,No,39,58,Yes,Yes,A,Yes,No,Yes,Yes,B,Yes,Credit card (automatic),110.65,6526.65,No,3,False
1767,Female,0,Yes,Yes,18,27,Yes,No,No,,No,No online banking,No online banking,B,Yes,Mailed check,20.55,583.3,No,5,False
1768,Female,0,Yes,No,50,71,Yes,Yes,A,Yes,Yes,Yes,Yes,C,Yes,Credit card (automatic),115.15,8078.1,No,4,False
1769,Female,0,No,No,19,63,Yes,No,B,No,No,No,Yes,B,No,Credit card (automatic),58.55,3503.5,No,2,False
1770,Male,0,Yes,No,59,71,Yes,Yes,A,No,No,No,Yes,A,Yes,Bank transfer (automatic),93.25,6669.45,No,5,False
1771,Female,1,No,No,86,41,Yes,Yes,A,Yes,No,Yes,Yes,A,Yes,Electronic check,113.2,4689.5,Yes,3,True
1772,Male,1,No,No,94,13,Yes,No,A,No,No,Yes,Yes,A,Yes,Electronic check,90.5,1201.15,Yes,1,True
1773,Male,0,No,No,48,2,Yes,No,A,No,No,Yes,No,A,No,Electronic check,79.0,143.65,Yes,3,True
1774,Female,0,Yes,Yes,36,68,Yes,No,No,,No,No online banking,No online banking,C,Yes,Bank transfer (automatic),19.35,1292.65,No,4,False
1775,Male,0,Yes,Yes,49,1,Yes,No,B,Yes,No,No,No,A,Yes,Mailed check,48.75,48.75,No,5,True
1776,Male,1,No,No,74,65,Yes,Yes,A,Yes,Yes,Yes,Yes,C,Yes,Electronic check,109.05,7108.2,No,3,False
1777,Male,1,Yes,No,75,72,Yes,Yes,No,,No,No online banking,No online banking,C,Yes,Bank transfer (automatic),25.0,1802.55,No,5,False
1778,Female,0,No,No,36,28,Yes,Yes,B,No,Yes,No,No,A,Yes,Credit card (automatic),54.9,1505.15,No,4,False
1779,Male,0,Yes,Yes,56,72,Yes,Yes,No,,No,No online banking,No online banking,C,No,Credit card (automatic),24.75,1859.1,No,5,False
1780,Female,0,No,No,39,2,Yes,No,A,Yes,No,Yes,No,A,Yes,Electronic check,91.15,168.5,No,4,True
1781,Female,0,No,Yes,32,18,Yes,No,No,,No,No online banking,No online banking,B,No,Bank transfer (automatic),20.15,390.85,Yes,4,False
1782,Male,1,Yes,No,88,60,Yes,Yes,A,No,No,Yes,Yes,B,Yes,Electronic check,104.35,6339.45,No,5,False
1783,Female,1,No,No,75,26,Yes,Yes,B,No,Yes,No,Yes,A,Yes,Electronic check,66.05,1652.4,No,3,False
1784,Male,0,No,Yes,56,1,Yes,No,A,No,No,No,No,A,Yes,Electronic check,71.65,71.65,Yes,1,True
1785,Female,0,No,No,54,4,Yes,No,No,,No,No online banking,No online banking,A,No,Mailed check,20.35,77.5,Yes,2,False
1786,Male,0,Yes,Yes,42,68,Yes,Yes,B,Yes,Yes,Yes,Yes,C,Yes,Credit card (automatic),92.2,6392.85,No,3,False
1787,Female,0,No,No,56,38,Yes,No,A,No,Yes,No,No,A,Yes,Credit card (automatic),84.25,3264.5,Yes,1,False
1788,Female,1,Yes,No,62,42,Yes,Yes,A,Yes,No,Yes,Yes,B,Yes,Bank transfer (automatic),105.2,4599.15,No,3,False
1789,Female,0,Yes,No,26,57,Yes,No,No,,No,No online banking,No online banking,C,Yes,Bank transfer (automatic),19.6,1134.25,No,4,False
1790,Male,0,Yes,No,30,54,No,,B,No,No,No,No,A,No,Electronic check,30.4,1621.35,No,1,False
1791,Female,0,No,No,25,12,Yes,No,A,No,No,No,Yes,A,No,Bank transfer (automatic),78.1,947.3,Yes,3,True
1792,Female,0,Yes,No,54,44,Yes,No,B,Yes,No,No,No,B,Yes,Mailed check,61.5,2722.2,No,3,False
1793,Male,0,Yes,Yes,55,42,Yes,Yes,B,Yes,No,Yes,No,A,Yes,Bank transfer (automatic),69.4,3058.3,No,3,False
1794,Male,0,Yes,Yes,28,72,Yes,Yes,No,,No,No online banking,No online banking,C,No,Bank transfer (automatic),24.75,1769.6,No,5,False
1795,Female,0,Yes,Yes,29,71,Yes,Yes,B,Yes,Yes,Yes,Yes,C,No,Mailed check,91.05,6293.75,No,4,False
1796,Female,0,Yes,No,44,19,Yes,Yes,A,No,No,No,Yes,A,No,Mailed check,89.65,1761.05,Yes,5,False
1797,Female,0,Yes,No,27,23,Yes,Yes,B,No,Yes,Yes,Yes,A,Yes,Credit card (automatic),73.65,1642.75,No,2,False
1798,Female,0,No,No,50,30,Yes,No,No,,No,No online banking,No online banking,C,No,Credit card (automatic),19.4,578.5,No,3,False
1799,Male,0,No,No,43,35,Yes,Yes,No,,No,No online banking,No online banking,B,No,Bank transfer (automatic),26.2,954.9,No,3,False
1800,Female,0,No,No,41,10,Yes,Yes,A,Yes,No,Yes,Yes,A,Yes,Electronic check,98.7,973.25,Yes,3,True
1801,Male,0,No,No,33,1,Yes,No,B,No,No,No,No,A,Yes,Bank transfer (automatic),43.85,43.85,No,4,True
1802,Male,0,No,No,42,22,Yes,No,A,No,No,No,No,A,Yes,Mailed check,69.7,1490.4,No,2,False
1803,Male,0,Yes,Yes,43,7,No,,B,Yes,No,No,No,C,No,Mailed check,38.55,280.0,No,2,False
1804,Female,0,No,No,34,36,No,,B,Yes,Yes,No,Yes,C,Yes,Mailed check,53.1,1901.25,No,2,False
1805,Female,0,Yes,Yes,32,34,Yes,No,No,,No,No online banking,No online banking,A,No,Mailed check,20.65,716.4,No,4,False
1806,Male,0,Yes,Yes,31,72,Yes,Yes,B,Yes,No,No,No,C,No,Credit card (automatic),64.45,4720.0,No,5,False
1807,Male,0,Yes,Yes,48,36,Yes,Yes,No,,No,No online banking,No online banking,C,No,Credit card (automatic),25.1,930.95,No,1,False
1808,Female,0,No,No,23,1,Yes,No,A,No,No,No,No,A,No,Electronic check,76.35,76.35,Yes,5,True
1809,Female,0,No,No,35,23,Yes,Yes,A,No,No,No,No,A,Yes,Electronic check,79.15,1676.95,Yes,2,True
1810,Male,1,Yes,No,71,32,Yes,Yes,A,No,No,No,Yes,A,Yes,Electronic check,85.0,2642.05,Yes,2,True
1811,Female,0,Yes,Yes,20,71,Yes,Yes,A,Yes,Yes,No,No,B,Yes,Credit card (automatic),95.15,6770.85,No,2,False
1812,Female,1,No,No,68,23,Yes,Yes,A,No,No,No,No,A,Yes,Mailed check,79.35,1835.3,No,3,True
1813,Male,0,Yes,No,42,17,Yes,No,A,No,No,Yes,Yes,B,Yes,Bank transfer (automatic),96.65,1588.25,No,4,False
1814,Male,0,No,No,43,1,Yes,No,B,No,Yes,Yes,Yes,A,Yes,Electronic check,75.5,75.5,No,4,True
1815,Male,0,Yes,Yes,23,12,Yes,No,No,,No,No online banking,No online banking,C,No,Mailed check,19.7,258.35,No,4,False
1816,Female,0,Yes,No,35,72,Yes,No,No,,No,No online banking,No online banking,C,No,Credit card (automatic),20.5,1502.25,No,2,False
1817,Male,0,No,No,50,1,Yes,No,No,,No,No online banking,No online banking,A,No,Mailed check,19.2,19.2,No,5,False
1818,Male,1,Yes,No,70,72,Yes,Yes,A,No,No,Yes,Yes,C,No,Bank transfer (automatic),98.35,6929.4,No,2,False
1819,Male,0,Yes,Yes,46,60,Yes,Yes,A,No,No,No,No,A,No,Bank transfer (automatic),74.35,4453.3,No,4,False
1820,Female,0,Yes,Yes,46,61,No,,B,No,Yes,Yes,No,C,No,Credit card (automatic),51.35,3244.4,No,2,False
1821,Female,0,Yes,No,58,6,Yes,No,B,No,No,No,No,A,No,Mailed check,45.65,323.45,No,3,False
1822,Male,1,Yes,No,92,32,Yes,Yes,A,No,No,No,Yes,A,No,Electronic check,85.3,2661.1,Yes,1,True
1823,Female,0,No,Yes,43,31,Yes,Yes,A,No,No,Yes,No,A,Yes,Credit card (automatic),86.55,2697.4,Yes,1,True
1824,Male,0,No,No,59,19,Yes,No,A,No,No,No,No,A,Yes,Credit card (automatic),73.85,1424.5,Yes,3,True
1825,Male,0,Yes,Yes,53,72,Yes,No,No,,No,No online banking,No online banking,C,No,Bank transfer (automatic),20.3,1401.15,No,4,False
1826,Female,0,No,No,54,32,Yes,Yes,B,No,No,No,No,A,Yes,Electronic check,54.2,1739.6,No,2,False
1827,Male,0,Yes,No,45,65,Yes,Yes,A,No,No,No,Yes,A,Yes,Electronic check,90.65,5931.0,No,5,False
1828,Female,0,Yes,Yes,51,45,No,,B,Yes,No,Yes,Yes,A,Yes,Bank transfer (automatic),50.9,2333.85,No,2,False
1829,Male,0,No,No,42,42,Yes,Yes,No,,No,No online banking,No online banking,B,No,Electronic check,25.05,949.85,No,2,False
1830,Male,0,No,No,44,8,Yes,Yes,A,No,No,No,No,A,Yes,Electronic check,74.85,572.45,No,4,True
1831,Male,0,No,Yes,50,32,Yes,No,No,,No,No online banking,No online banking,C,No,Mailed check,20.5,696.8,No,3,False
1832,Female,1,Yes,No,99,22,Yes,Yes,B,Yes,Yes,No,No,A,Yes,Mailed check,63.55,1381.8,No,3,False
1833,Male,1,Yes,No,61,57,No,,B,No,No,Yes,Yes,A,Yes,Electronic check,44.85,2572.95,Yes,3,True
1834,Male,0,No,No,38,1,Yes,No,B,Yes,No,No,No,A,No,Electronic check,47.95,47.95,No,5,True
1835,Male,1,No,No,68,1,Yes,No,B,No,No,No,No,A,No,Electronic check,45.1,45.1,Yes,4,True
1836,Female,0,Yes,No,35,1,Yes,No,B,No,No,No,No,A,Yes,Electronic check,45.0,45.0,No,4,True
1837,Male,0,No,No,27,24,Yes,No,A,No,Yes,Yes,Yes,A,Yes,Electronic check,96.0,2122.45,Yes,2,True
1838,Male,0,No,No,18,1,Yes,No,No,,No,No online banking,No online banking,A,No,Bank transfer (automatic),20.05,20.05,Yes,5,True
1839,Male,1,No,No,72,54,Yes,Yes,A,No,No,No,Yes,A,Yes,Electronic check,90.05,4931.8,No,4,True
1840,Female,0,No,No,56,4,Yes,Yes,No,,No,No online banking,No online banking,C,Yes,Credit card (automatic),25.3,116.95,No,3,False
1841,Male,0,Yes,Yes,32,65,Yes,Yes,A,Yes,Yes,Yes,Yes,C,No,Bank transfer (automatic),108.65,6937.95,Yes,3,False
1842,Female,0,Yes,No,35,56,Yes,Yes,No,,No,No online banking,No online banking,B,No,Electronic check,24.3,1261.7,No,1,False
1843,Male,0,No,No,27,45,Yes,No,B,Yes,No,Yes,Yes,A,Yes,Electronic check,75.95,3273.8,No,5,False
1844,Female,0,Yes,Yes,26,71,Yes,No,No,,No,No online banking,No online banking,C,No,Credit card (automatic),19.7,1415.85,No,4,False
1845,Male,0,Yes,No,48,59,Yes,No,B,Yes,No,Yes,No,B,No,Credit card (automatic),66.4,3958.2,No,4,False
1846,Male,0,No,No,29,69,No,,B,No,No,No,No,B,Yes,Bank transfer (automatic),35.75,2492.25,No,4,False
1847,Male,0,No,No,33,19,Yes,No,No,,No,No online banking,No online banking,B,No,Mailed check,18.8,279.2,No,2,False
1848,Female,0,Yes,Yes,32,55,Yes,No,No,,No,No online banking,No online banking,C,No,Credit card (automatic),19.4,1083.0,No,1,False
1849,Female,0,No,No,36,38,Yes,No,No,,No,No online banking,No online banking,B,No,Mailed check,19.3,755.5,No,1,False
1850,Male,0,No,No,44,10,Yes,No,B,No,No,No,No,A,Yes,Electronic check,45.55,402.6,Yes,4,True
1851,Female,1,Yes,No,98,47,Yes,Yes,B,Yes,No,No,No,A,Yes,Credit card (automatic),67.45,3252.0,No,5,False
1852,Female,0,Yes,No,29,2,No,,B,No,No,No,Yes,A,Yes,Electronic check,35.1,68.75,Yes,4,True
1853,Male,0,No,No,47,1,Yes,No,B,No,No,No,No,A,No,Credit card (automatic),46.2,46.2,Yes,1,True
